Id,Source,Text,Image,Extracted Text,Language,Code-Mixed,Translated Text
1,X,,img1.jpeg.png,"Tonal ORC ol
এখন ঘৰ _",,,
2,X,,img2.jpeg.png,"নাবেই এতিয়া একমাত্ৰ
ভৰসা যোৰাবাটত",,,
3,X,,img3.jpeg.png,"পুনৰ কৃত্ৰিম বানত ডুবিল
মহানগৰী,এয়া বশিষ্ঠৰ দৃশ্য",,,
4,X,,img4.jpeg.png,"बाढ़ पीड़ितों के लिए भोजन और दवा
की तत्काल आवश्यकता __",,,
5,X,"তেওঁলোকৰোঁ আছিল এখন ঘৰ, আছিল বহু সপোন। এতিয়া তেওঁলোক গৃহহীন। দিখৌৱে উটুৱাই নিলে সপোনৰ সৈতে তেওঁলোকৰ ঘৰ আৰু ঘৰৰ সম্পদবোৰ। প্ৰাণটোৰ বাহিৰে তেওঁলোক এতিয়া শূন্য। কেতিয়া ব্যৱস্থা ল'ব চৰকাৰে?",,,,,
6,X,"Guwahati r Anil Nagar fully underwater. Water level is rising fast, 6 people inside a house stranded, please contact rescue team immediate or send boats near bypass",,,,,
7,X,,img5.jpeg.png,SS OPI RC ললে,,,
8,X,মৰিগাঁও জিলাৰ ভূৰাগাঁৱত ব্ৰহ্মপুত্ৰৰ মথাউৰি ভাঙি ২০ খন গাঁও বুৰ গৈছে। এতিয়ালৈকে কোনো উদ্ধাৰকাৰী দল উপস্থিত হোৱা নাই। খাদ্য আৰু বিশুদ্ধ খোৱাপানীৰ হাহাকাৰ।,,,,,
9,X,असम के धेमाजी में बाढ़ की स्थिति गंभीर। राष्ट्रीय राजमार्ग पर यातायात पूरी तरह ठप हो गया है। जिला प्रशासन ने निचले इलाकों से लोगों को सुरक्षित स्थानों पर जाने को कहा है।,,,,,
10,X,"The water levels of the Jia Bharali and Puthimari rivers are flowing above the danger mark. Agricultural lands in Kampur area are submerged, damaging livestock feed.",,,,,
11,X,"URGENT HELP NEEDED!! Barpeta district r Kalgachia sub-division t প্ৰায় ৫০ ঘৰ মানুহ বানপানীত বুৰ গৈছে। No food, no clean water for 2 days. operational boats নাই ইয়াত। direct help লাগে, small kids are getting sick here.",,,,,
12,X,"""নলবাৰী জিলাৰ টিহুৰ একাংশ অঞ্চলত হঠাৎ বৃদ্ধি পাইছে পাগলাদিয়া নদীৰ জলস্তৰ। নৈপৰীয়া ৰাইজৰ মাজত হুৱাদুৱা পৰিৱেশ। মথাউৰিৰ একাংশ খহি যোৱাৰ ফলত ঘৰ-দুৱাৰ এৰি মৰণত শৰণ লৈ ওখ মথাউৰিত আশ্ৰয় লৈছে শ শ পৰিয়ালে।",,,,,
13,X,असम बाढ़ अपडेट: पिछले २४ घंटों में लगातार बारिश के कारण काजीरंगा राष्ट्रीय उद्यान का ४० प्रतिशत हिस्सा जलमग्न हो गया है। वन्यजीवों को सुरक्षित ऊंचे स्थानों (Highlands) पर भेजा जा रहा है। वन विभाग हाई अलर्ट पर है।,,,,,
14,X,,img6.jpeg.png,"; (UE: NDRF/SDRF EVACUATE
780005/|8053 114 8/(/৮১৮া/+0|8৬1[18|62]া.,,,,",,,
15,X,,img7.jpeg.png,"'মৰিগাঁও আৰু ধেমাজিত বানৰ
তাণ্ডৱ, ২০ লাখ লোক ক্ষতিগ্ৰস্ত’",,,
16,Google News,"Assam’s flood-related death toll rises to 107 as six districts remain affected. The Dhansiri (South) at Numaligarh continues to flow above the severe flood level, with over 22,000 people affected.",,,,,
17,Google News,,img8.jpeg.png,"SENT NIG :-SCUE: Helicopter deployed for
critical evacuation. (SDRF/NDRF on high alert).",,,
18,Google News,,img9.jpeg.png,"1,200 Villages
Submerged | lion Affected",,,
19,Google News,,img10.jpeg.png,"MEDICAL CRISIS: Children vulnerable,
severe shortage of supplies.",,,
20,Google News,,img11.jpeg.png,"तत्काल सहायता और खाद्य सामग्री
की तत्काल आवश्यकता",,,
21,Google News,,img12.jpeg.png,| Arh eC eric a,,,
22,Google News,Flash Flood in Assam leaves thousands of children in urgent need of humanitarian assistance,,,,,
23,Google News,Assam Fash Flood:Direct Relief Mobilizing Aid around medical needs,,,,,
24,Google News,Over ₹1000 Crore likely needed for rehabilitation of Assam Flood victims:Himanta,,,,,
25,Google News,"Army deployed for rescue, rail services hit, tea estates submerged",,,,,
26,Google News,"Assam floods disrupts rail services: Over 300 trains cancelled , diverted and short-terminated",,,,,
27,Google News,"As floodwater recede in Assam, children face long road to recovery",,,,,
28,Google News,"""No home to return to"": Assam's flood victims face harder fight after water recede",,,,,
29,Google News,"India's Assa, flood death toll climbs to 87, over 1.28 Lakh people affected; relief camps shelter over 11,000 victims",,,,,
30,Google News,,img13.jpeg.png,"ৰাইজৰ আহবান: আমাক জৰুৰী
খাদ্য আৰু পানী যোগান ধৰক।",,,
31,Google News,,img14.jpeg.png,"बारपेटा के कई गांव
बाढ़ के पानी से कटे",,,
32,Google News,,img15.jpeg.png,"URGENT MEDICAL HELP NEEDED AT FLOOD
RELIEF CAMP (DISTRICT SPORTS के i
Pregnant woman requires evacuati",,,
33,Google News,,img16.jpeg.png,"(एंएं०३ 50009 ५9101906.
500+ families waiting for aid.",,,
34,Pratidin TV,,image34.jpeg,". We need clean drinking water — OIrats
বিশুদ্ধ খোৱাপানী লাগে।",,,
35,Pratidin TV,,image35.jpeg,"0४७ ॥०९०८ ৪ 90921 007 ॥850५७ - উদ্ধাৰৰ বাবে
আমাক এখন নাও লাগে।",,,
36,Pratidin TV,,image36.jpeg,", Children need milk and baby food —
শিশুসকলৰ বাবে গাখীৰ আৰু শিশুৰ খাদ্য
লাগে৷",,,
37,Pratidin TV,,image37.jpeg,"Please provide blankets — Sal Pats
ACTS |",,,
38,Pratidin TV,,image38.jpeg,", ४४०७ 176০0 9 09090 007 ॥७5०५७ - ऊँफ्कांबव বাবে
আমাক এখন নাও লাগে।",,,
39,Pratidin TV,,image39.jpeg,", Please provide blankets — আমাক কম্বলৰ
ACTS |",,,
40,Pratidin TV,,image40.jpeg,"DC eee a hel शांवी
লাগে।",,,
41,Pratidin TV,,image41.jpeg,". We need a medical camp here — 2516
আমাক এটা চিকিৎসা শিবিৰ লাগে।",,,
42,Pratidin TV,,image42.jpeg,"हमें तुरंत दवाइयों की जरूरत है -- खांघ्वांक
এতিয়াই ওঁষধৰ প্ৰয়োজন।",,,
43,Instagram,,image43.jpeg,"'. कृपया चावल और दाल की मदद करें -- অনুগ্ৰহ
কৰি চাউল আৰু দাইলৰ সহায় কৰক।",,,
44,Instagram,,image44.jpeg,"« हमें खाना और पीने का पानी चाहिए -- झांघ्वांक
খাদ্য আৰু খোৱাপানী লাগে।",,,
45,Instagram,,image45.jpeg,"Four water treatment units were installed by UNICEF, including two
mounted on boats to ensure access to portable drinking water in Silchar",,,
46,Instagram,,image46.jpeg,", বলৰ পৰা শেষ মম ae পৰা নেতা-কৰ্মী বহিষ্কাৰ কৰাত ব্যস্ত
গৌৰৱ গগৈ",,,
47,Instagram,,image47.jpeg,"At
जाएगा0।
610.045 08
॥ 85500",,,
